Actual,Predicted
76482.2,73083.7578125
76675.1,73305.15625
80410.0,73692.2578125
88728.9,74349.3515625
87972.0,75429.0078125
90413.30000000002,77096.6875
87382.7,78937.7890625
91074.6,80820.8515625
90643.3,82547.453125
89899.9,83534.6640625
90507.39999999998,84544.53125
92335.9,85482.28125
94288.0,86427.609375
98366.8,86975.296875
98921.39999999998,87185.6796875
97725.5,87409.7421875
97960.4,87631.4140625
93064.0,88110.59375
92021.4,88586.53125
95905.2,89077.84375
95694.4,89487.8671875
97516.30000000002,89612.7734375
96475.1,89703.3125
97265.1,89615.9375
95890.5,89213.0078125
95383.6,88943.859375
